kz_baxter, Time: 00:37.26 (TP), Teleports: 1, Rank: 1/573
kz_beanguy_v2, Time: 01:06.34 (TP), Teleports: 1, Rank: 1/45
kz_beanguy_v2, Time: 01:05.42 (PRO), Teleports: 0, Rank: 1/19
kz_bible_black, Time: 00:53.17 (PRO), Teleports: 0, Rank: 1/144
kz_bir_dont_fix, Time: 00:38.75 (TP), Teleports: 1, Rank: 1/119
kz_boomblock, Time: 01:47.93 (PRO), Teleports: 0, Rank: 1/14
kz_boomblock, Time: 01:49.81 (TP), Teleports: 1, Rank: 1/88
kz_carbon, Time: 04:55.66 (PRO), Teleports: 0, Rank: 1/9
kz_carp_v2, Time: 00:46.78 (PRO), Teleports: 0, Rank: 1/8
kz_carp_v2, Time: 00:44.46 (TP), Teleports: 1, Rank: 1/36
kz_castlehops_v2, Time: 03:09.43 (PRO), Teleports: 0, Rank: 1/7
kz_castlehops_v2, Time: 03:13.81 (TP), Teleports: 4, Rank: 1/36
kz_catharsis_global, Time: 02:25.75 (PRO), Teleports: 0, Rank: 1/291
kz_checkmate, Time: 05:29.56 (PRO), Teleports: 0, Rank: 1/33
kz_coastline_fix, Time: 01:43.43 (TP), Teleports: 1, Rank: 1/102
kz_combohop_c02, Time: 01:43.66 (PRO), Teleports: 0, Rank: 1/306
kz_cratespeed, Time: 01:35.25 (PRO), Teleports: 0, Rank: 1/278
kz_cratespeed, Time: 01:35.50 (TP), Teleports: 1, Rank: 1/947
kz_crate_delight_go, Time: 03:29.31 (PRO), Teleports: 0, Rank: 1/247
kz_delphinium, Time: 00:45.46 (TP), Teleports: 1, Rank: 1/59
kz_dust, Time: 01:02.67 (TP), Teleports: 1, Rank: 1/28
kz_edifice, Time: 01:29.78 (PRO), Teleports: 0, Rank: 1/78
kz_excavate_b, Time: 01:41.68 (TP), Teleports: 1, Rank: 1/1995
kz_farm_v2, Time: 06:29.00 (TP), Teleports: 4, Rank: 1/146
kz_farm_v2, Time: 06:54.37 (PRO), Teleports: 0, Rank: 1/9
kz_fas2map, Time: 00:58.43 (TP), Teleports: 1, Rank: 1/253
kz_fas2map, Time: 00:56.75 (PRO), Teleports: 0, Rank: 1/48
kz_gkd_v2, Time: 01:04.20 (TP), Teleports: 1, Rank: 1/32
kz_goldentabby, Time: 01:00.18 (TP), Teleports: 1, Rank: 1/139
kz_goldentabby, Time: 01:00.75 (PRO), Teleports: 0, Rank: 1/45
kz_grate, Time: 03:32.25 (PRO), Teleports: 0, Rank: 1/7
kz_huber, Time: 01:43.15 (TP), Teleports: 1, Rank: 1/248
kz_intercourse!, Time: 02:38.25 (TP), Teleports: 4, Rank: 1/60
kz_intercourse!, Time: 02:46.18 (PRO), Teleports: 0, Rank: 1/5
kz_janpu_final_fix, Time: 02:24.08 (TP), Teleports: 1, Rank: 1/1887
kz_johndoe, Time: 00:37.18 (TP), Teleports: 1, Rank: 1/118
kz_kzra_bars, Time: 03:27.67 (TP), Teleports: 13, Rank: 1/50
kz_kzra_stoneishbhop, Time: 02:03.87 (TP), Teleports: 1, Rank: 1/39
kz_kzra_stoneishbhop, Time: 01:53.50 (PRO), Teleports: 0, Rank: 1/6
kz_kzro_brickstgrass_v2, Time: 02:46.43 (TP), Teleports: 1, Rank: 1/38
kz_kzro_brickstgrass_v2, Time: 02:47.23 (PRO), Teleports: 0, Rank: 1/5
kz_kzro_gohome, Time: 05:07.25 (TP), Teleports: 5, Rank: 1/83
kz_kzro_gohome, Time: 05:04.78 (PRO), Teleports: 0, Rank: 1/7
kz_kzro_hardvalley, Time: 52:47.81 (TP), Teleports: 1018, Rank: 1/2
kz_lavablock_global, Time: 03:08.28 (PRO), Teleports: 0, Rank: 1/32
kz_littlerock_v2, Time: 01:44.18 (TP), Teleports: 1, Rank: 1/2660
kz_lookout, Time: 01:32.98 (PRO), Teleports: 0, Rank: 1/1
kz_luonto, Time: 02:16.68 (PRO), Teleports: 0, Rank: 1/100
kz_luonto, Time: 02:19.21 (TP), Teleports: 1, Rank: 1/766
kz_megalodon, Time: 01:01.38 (TP), Teleports: 1, Rank: 1/419
kz_memento, Time: 01:21.93 (TP), Teleports: 1, Rank: 1/92
kz_memento, Time: 01:19.93 (PRO), Teleports: 0, Rank: 1/11
kz_milehigh, Time: 03:36.25 (PRO), Teleports: 0, Rank: 1/7
kz_minimalism, Time: 01:24.65 (PRO), Teleports: 0, Rank: 1/223
kz_moorerutan, Time: 02:32.31 (PRO), Teleports: 0, Rank: 1/93
kz_morebricks_msq, Time: 01:10.07 (TP), Teleports: 1, Rank: 1/1265
kz_morebricks_msq, Time: 01:10.35 (PRO), Teleports: 0, Rank: 1/210
kz_mz, Time: 00:10.62 (TP), Teleports: 1, Rank: 1/56
kz_mz, Time: 00:10.50 (PRO), Teleports: 0, Rank: 1/147
kz_nightcastle, Time: 01:14.85 (PRO), Teleports: 0, Rank: 1/6
kz_nightfall, Time: 01:33.98 (PRO), Teleports: 0, Rank: 1/6
kz_plains, Time: 00:51.32 (PRO), Teleports: 0, Rank: 1/277
kz_plains, Time: 00:51.78 (TP), Teleports: 1, Rank: 1/1353
kz_prima, Time: 01:47.70 (PRO), Teleports: 0, Rank: 1/232
kz_psyk, Time: 02:07.06 (PRO), Teleports: 0, Rank: 1/5
kz_railings, Time: 01:41.64 (PRO), Teleports: 0, Rank: 1/86
kz_refract, Time: 00:42.87 (TP), Teleports: 1, Rank: 1/129
kz_refract, Time: 00:42.75 (PRO), Teleports: 0, Rank: 1/11
kz_rompenutrias_asheglado, Time: 03:13.00 (TP), Teleports: 6, Rank: 1/21
kz_rompenutrias_asheglado, Time: 03:41.06 (PRO), Teleports: 0, Rank: 1/3
kz_simple_sp, Time: 07:01.35 (TP), Teleports: 17, Rank: 1/71
kz_slide_vaahtera, Time: 01:49.76 (TP), Teleports: 4, Rank: 1/35
kz_slumpfrageous, Time: 03:23.84 (PRO), Teleports: 0, Rank: 1/11
kz_slumpfrageous, Time: 02:51.71 (TP), Teleports: 4, Rank: 1/289
kz_spire, Time: 05:49.50 (PRO), Teleports: 0, Rank: 1/4
kz_spire, Time: 05:26.96 (TP), Teleports: 10, Rank: 1/36
kz_splopkopsc_loverick_extreme, Time: 00:28.21 (TP), Teleports: 1, Rank: 1/28
kz_structures, Time: 00:56.06 (TP), Teleports: 1, Rank: 1/423
kz_synergy_ez, Time: 02:45.85 (TP), Teleports: 1, Rank: 1/61
kz_tomb_fix, Time: 00:30.34 (TP), Teleports: 1, Rank: 1/783
kz_tomb_fix, Time: 00:29.81 (PRO), Teleports: 0, Rank: 1/303
kz_toonrun_final, Time: 04:47.06 (TP), Teleports: 3, Rank: 1/490
kz_toonrun_final, Time: 04:52.56 (PRO), Teleports: 0, Rank: 1/14
